Web Search interest: carnegie mellon university
United States; 2004 - present

Interest over time
Week,carnegie mellon university
2004-01-04 - 2004-01-10,71
2004-01-11 - 2004-01-17,100
2004-01-18 - 2004-01-24,54
2004-01-25 - 2004-01-31,56
2004-02-01 - 2004-02-07,72
2004-02-08 - 2004-02-14,57
2004-02-15 - 2004-02-21,55
2004-02-22 - 2004-02-28,56
2004-02-29 - 2004-03-06,58
2004-03-07 - 2004-03-13,59
2004-03-14 - 2004-03-20,61
2004-03-21 - 2004-03-27,67
2004-03-28 - 2004-04-03,74
2004-04-04 - 2004-04-10,76
2004-04-11 - 2004-04-17,61
2004-04-18 - 2004-04-24,61
2004-04-25 - 2004-05-01,56
2004-05-02 - 2004-05-08,60
2004-05-09 - 2004-05-15,68
2004-05-16 - 2004-05-22,62
2004-05-23 - 2004-05-29,58
2004-05-30 - 2004-06-05,54
2004-06-06 - 2004-06-12,72
2004-06-13 - 2004-06-19,59
2004-06-20 - 2004-06-26,64
2004-06-27 - 2004-07-03,70
2004-07-04 - 2004-07-10,59
2004-07-11 - 2004-07-17,71
2004-07-18 - 2004-07-24,83
2004-07-25 - 2004-07-31,51
2004-08-01 - 2004-08-07,54
2004-08-08 - 2004-08-14,56
2004-08-15 - 2004-08-21,54
2004-08-22 - 2004-08-28,61
2004-08-29 - 2004-09-04,67
2004-09-05 - 2004-09-11,52
2004-09-12 - 2004-09-18,59
2004-09-19 - 2004-09-25,61
2004-09-26 - 2004-10-02,69
2004-10-03 - 2004-10-09,63
2004-10-10 - 2004-10-16,61
2004-10-17 - 2004-10-23,72
2004-10-24 - 2004-10-30,64
2004-10-31 - 2004-11-06,52
2004-11-07 - 2004-11-13,100
2004-11-14 - 2004-11-20,67
2004-11-21 - 2004-11-27,55
2004-11-28 - 2004-12-04,55
2004-12-05 - 2004-12-11,50
2004-12-12 - 2004-12-18,47
2004-12-19 - 2004-12-25,50
2004-12-26 - 2005-01-01,49
2005-01-02 - 2005-01-08,49
2005-01-09 - 2005-01-15,59
2005-01-16 - 2005-01-22,50
2005-01-23 - 2005-01-29,46
2005-01-30 - 2005-02-05,47
2005-02-06 - 2005-02-12,47
2005-02-13 - 2005-02-19,44
2005-02-20 - 2005-02-26,64
2005-02-27 - 2005-03-05,36
2005-03-06 - 2005-03-12,46
2005-03-13 - 2005-03-19,48
2005-03-20 - 2005-03-26,57
2005-03-27 - 2005-04-02,44
2005-04-03 - 2005-04-09,57
2005-04-10 - 2005-04-16,44
2005-04-17 - 2005-04-23,40
2005-04-24 - 2005-04-30,54
2005-05-01 - 2005-05-07,41
2005-05-08 - 2005-05-14,54
2005-05-15 - 2005-05-21,44
2005-05-22 - 2005-05-28,45
2005-05-29 - 2005-06-04,38
2005-06-05 - 2005-06-11,40
2005-06-12 - 2005-06-18,59
2005-06-19 - 2005-06-25,35
2005-06-26 - 2005-07-02,40
2005-07-03 - 2005-07-09,49
2005-07-10 - 2005-07-16,56
2005-07-17 - 2005-07-23,40
2005-07-24 - 2005-07-30,53
2005-07-31 - 2005-08-06,49
2005-08-07 - 2005-08-13,45
2005-08-14 - 2005-08-20,49
2005-08-21 - 2005-08-27,56
2005-08-28 - 2005-09-03,41
